"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"1302","2015-00013085",2015-03-04 18:17:00,"WB 80 WEST OF ASHBY","T",NA,1,"HF2TCN","Hispanic","F","2","Traffic","Citation","No Search",37.8715926,-122.272747,"Not Arrested","No",18,"4"
"1303","2015-00013091",2015-03-04 18:59:00,"I80E ASBHY","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8541636,-122.2721859,"Not Arrested","No",18,"4"
"1304","2015-00013103",2015-03-04 20:27:00,"OREGON ST / GRANT ST","T",NA,1,"WM3TCN","White","M","3","Traffic","Citation","No Search",37.8568682,-122.2730019,"Not Arrested","No",20,"4"
"1305","2015-00013104",2015-03-04 20:40:00,"SACRAMENTO ST / RUSSELL ST","T",NA,1,"BM3TWN","Black","M","3","Traffic","Warning","No Search",37.8549016,-122.2794491,"Not Arrested","No",20,"4"
"1306","2015-00013114",2015-03-04 21:36:00,"ASHBY AVE / NINTH ST","T","M",1,"BM2TCS","Black","M","2","Traffic","Citation","Search",37.8516144,-122.2893722,"Not Arrested","No",21,"4"
"1307","2015-00013123",2015-03-04 22:13:00,"2100 BLOCK MILVIA ST","1194","M",1,"AM2RCS","Asian","M","2","Reasonable Suscipcion","Citation","Search",37.8705535,-122.2711502,"Not Arrested","No",22,"4"
"1308","2015-00013125",2015-03-04 22:26:00,"SAN PABLO AVE / HEINZ AVE","T",NA,1,"BM3TCN","Black","M","3","Traffic","Citation","No Search",37.8544034,-122.2873227,"Not Arrested","No",22,"4"
"1309","2015-00013127",2015-03-04 22:53:00,"ALLSTON WAY / BYRON ST","T",NA,1,"HM3TCN","Hispanic","M","3","Traffic","Citation","No Search",37.8665532,-122.2900048,"Not Arrested","No",22,"4"
"1310","2015-00013134",2015-03-04 23:21:00,"SAN PABLO AVE / SIXTY-FIFTH ST","1194B",NA,1,"BM3TCN","Black","M","3","Traffic","Citation","No Search",37.8664737,-122.2983845,"Not Arrested","No",23,"4"
"1311","2015-00013141",2015-03-05 00:48:00,"ADDISON ST / GRANT ST","1194B",NA,1,"HM2RWS","Hispanic","M","2","Reasonable Suscipcion","Warning","Search",37.8702937,-122.2751557,"Not Arrested","No",0,"5"
"1312","2015-00013150",2015-03-05 01:43:00,"ASHBY AVE / ADELINE ST","T",NA,1,"WM3TCN","White","M","3","Traffic","Citation","No Search",37.8546188,-122.2691712,"Not Arrested","No",1,"5"
"1313","2015-00013151",2015-03-05 01:51:00,"ALCATRAZ AVE / SHATTUCK AVE","T",NA,1,"OM3TWN","Other","M","3","Traffic","Warning","No Search",37.8495043,-122.2657364,"Not Arrested","No",1,"5"
"1314","2015-00013153",2015-03-05 02:02:00,"ESSEX ST / ALCATRAZ AVE","T",NA,1,"WM2TWN","White","M","2","Traffic","Warning","No Search",37.8473021,-122.2822492,"Not Arrested","No",2,"5"
"1315","2015-00013155",2015-03-05 02:27:00,"37.8604074730001~-122.299189454","1196",NA,1,"OM2IWN","Other","M","2","Investigation","Warning","No Search",37.8604074730001,-122.299189454,"Not Arrested","No",2,"5"
"1316","2015-00013164",2015-03-05 06:19:00,"2000 BLOCK M L KING JR WAY","1194",NA,1,"BM4RCN","Black","M","4","Reasonable Suscipcion","Citation","No Search",37.8715005,-122.2730335,"Not Arrested","No",6,"5"
"1317","2015-00013165",2015-03-05 06:42:00,"1600 BLOCK UNIVERSITY AVE","1194",NA,1,"HM3RCN","Hispanic","M","3","Reasonable Suscipcion","Citation","No Search",37.8704432,-122.2795459,"Not Arrested","No",6,"5"
"1318","2015-00013172",2015-03-05 07:41:00,"VIRGINIA/W OF THE TRACKS","1194",NA,1,"BF4IWN","Black","F","4","Investigation","Warning","No Search",37.8715926,-122.272747,"Not Arrested","No",7,"5"
"1319","2015-00013179",2015-03-05 09:13:00,"CEDAR ST / SECOND ST","1194",NA,1,"BF3TCN","Black","F","3","Traffic","Citation","No Search",37.8732056,-122.3040794,"Not Arrested","No",9,"5"
"1320","2015-00013193",2015-03-05 10:46:00,"SEVENTH ST / POTTER ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8515138,-122.2912337,"Not Arrested","No",10,"5"
"1321","2015-00013198",2015-03-05 11:10:00,"ASHBY AVE / SEVENTH ST","T",NA,1,"WF4TCN","White","F","4","Traffic","Citation","No Search",37.8510182,-122.2910929,"Not Arrested","No",11,"5"
"1322","2015-00013201",2015-03-05 11:24:00,"UNI/7TH","T",NA,1,"BF3TCN","Black","F","3","Traffic","Citation","No Search",37.868252,-122.2966456,"Not Arrested","No",11,"5"
"1323","2015-00013212",2015-03-05 11:49:00,"HASTE/SHATTUCK","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8648936,-122.2674117,"Not Arrested","No",11,"5"
"1324","2015-00013217",2015-03-05 12:31:00,"ASH/7TH","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8510182,-122.2910929,"Not Arrested","No",12,"5"
"1325","2015-00013221",2015-03-05 13:03:00,"SHATTUCK AVE/CENTER ST","1194",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8703057,-122.2680389,"Not Arrested","No",13,"5"
"1326","2015-00013225",2015-03-05 13:18:00,"PIED/FORE","T",NA,1,"OF4TCN","Other","F","4","Traffic","Citation","No Search",37.8715926,-122.272747,"Not Arrested","No",13,"5"
"1327","2015-00013226",2015-03-05 13:21:00,"UNI/6TH","T",NA,1,"WF4TCN","White","F","4","Traffic","Citation","No Search",37.868032,-122.2977077,"Not Arrested","No",13,"5"
"1328","2015-00013227",2015-03-05 13:22:00,"DERB/WARR","T",NA,1,"AF3ICN","Asian","F","3","Investigation","Citation","No Search",37.8715926,-122.272747,"Not Arrested","No",13,"5"
"1329","2015-00013228",2015-03-05 13:32:00,"ASH/SAC","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8532935,-122.2789409,"Not Arrested","No",13,"5"
"1330","2015-00013231",2015-03-05 13:36:00,"6TH ST/UNIVERSITY AVE","T",NA,1,"BF3TCN","Black","F","3","Traffic","Citation","No Search",37.868032,-122.2977077,"Not Arrested","No",13,"5"
"1331","2015-00013233",2015-03-05 13:48:00,"UNI/6TH","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.868032,-122.2977077,"Not Arrested","No",13,"5"
"1332","2015-00013243",2015-03-05 14:28:00,"CENTER/MIL","T",NA,1,"OM4TCN","Other","M","4","Traffic","Citation","No Search",37.8715926,-122.272747,"Not Arrested","No",14,"5"
"1333","2015-00013257",2015-03-05 16:06:00,"CEN/SHATT","T",NA,1,"AM2TCN","Asian","M","2","Traffic","Citation","No Search",37.8703057,-122.2680389,"Not Arrested","No",16,"5"
"1334","2015-00013263",2015-03-05 16:21:00,"DWIGHT WAY / FULTON ST","T",NA,1,"BF2TCN","Black","F","2","Traffic","Citation","No Search",37.8642505,-122.2652527,"Not Arrested","No",16,"5"
"1335","2015-00013268",2015-03-05 16:31:00,"COLLEGE AVE / RUSSELL ST","T",NA,1,"WF2TWN","White","F","2","Traffic","Warning","No Search",37.8584799,-122.2531821,"Not Arrested","No",16,"5"
"1336","2015-00013272",2015-03-05 16:45:00,"REGENT ST / ALCATRAZ AVE","T",NA,1,"WF2TCN","White","F","2","Traffic","Citation","No Search",37.8508442,-122.255601,"Not Arrested","No",16,"5"
"1337","2015-00013275",2015-03-05 16:53:00,"ALLSTON WAY / MILVIA ST","1194B",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8690594,-122.2704546,"Not Arrested","No",16,"5"
"1338","2015-00013292",2015-03-05 18:13:00,"37.879672853~-122.307296201","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.879672853,-122.307296201,"Not Arrested","No",18,"5"
"1339","2015-00013294",2015-03-05 18:29:00,"1500 BLOCK SHATTUCK AVE","1194",NA,1,"WM2IWN","White","M","2","Investigation","Warning","No Search",37.8802237,-122.2693772,"Not Arrested","No",18,"5"
"1340","2015-00013331",2015-03-05 22:10:00,"UNIVERSITY AVE / SEVENTH ST","T",NA,1,"WM3TCN","White","M","3","Traffic","Citation","No Search",37.868252,-122.2966456,"Not Arrested","No",22,"5"
"1341","2015-00013334",2015-03-05 22:26:00,"M L KING JR WAY / BERKELEY WAY","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8724567,-122.2731207,"Not Arrested","No",22,"5"
"1342","2015-00013337",2015-03-05 22:42:00,"SAN PABLO AVE / BANCROFT WAY","1194B",NA,1,"BM4TWN","Black","M","4","Traffic","Warning","No Search",37.8646125,-122.2907521,"Not Arrested","No",22,"5"
"1343","2015-00013345",2015-03-06 00:02:00,"UNIVERSITY AVE / SEVENTH ST","1194",NA,1,"WM4RWS","White","M","4","Reasonable Suscipcion","Warning","Search",37.868252,-122.2966456,"Not Arrested","No",0,"6"
"1344","2015-00013346",2015-03-06 00:19:00,"PIE/CH","T",NA,1,"HM1TCN","Hispanic","M","1","Traffic","Citation","No Search",37.8715926,-122.272747,"Not Arrested","No",0,"6"
"1345","2015-00013380",2015-03-06 08:46:00,"ADELINE ST / WARD ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8592803,-122.2675723,"Not Arrested","No",8,"6"
"1346","2015-00013386",2015-03-06 10:28:00,"SHATTUCK AVE / CARLETON ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8612545,-122.2671221,"Not Arrested","No",10,"6"
"1347","2015-00013388",2015-03-06 10:42:00,"CALIFORNIA ST / UNIVERSITY AVE","1194",NA,1,"AM2TCN","Asian","M","2","Traffic","Citation","No Search",37.8706401,-122.2797647,"Not Arrested","No",10,"6"
"1348","2015-00013389",2015-03-06 10:56:00,"UNIVER/SHATT","1194",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8720999,-122.2684067,"Not Arrested","No",10,"6"
"1349","2015-00013391",2015-03-06 11:08:00,"UNIVERSITY AVE / SHATTUCK AVE","1194",NA,1,"WF3TCN","White","F","3","Traffic","Citation","No Search",37.8720999,-122.2684067,"Not Arrested","No",11,"6"
"1350","2015-00013396",2015-03-06 11:33:00,"DWIGHT WAY / FULTON ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8642505,-122.2652527,"Not Arrested","No",11,"6"
"1351","2015-00013397",2015-03-06 11:47:00,"ELLSWORTH ST / RUSSELL ST","T",NA,1,"HF4TCN","Hispanic","F","4","Traffic","Citation","No Search",37.8574036,-122.261511,"Not Arrested","No",11,"6"
"1352","2015-00013398",2015-03-06 11:48:00,"2000 BLOCK BERKELEY WAY","T",NA,1,"WM4TWS","White","M","4","Traffic","Warning","Search",37.8726801,-122.2707355,"Not Arrested","No",11,"6"
"1353","2015-00013399",2015-03-06 11:54:00,"OREGON ST / FULTON ST","1194B",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8579908,-122.2639445,"Not Arrested","No",11,"6"
"1354","2015-00013402",2015-03-06 12:05:00,"ELLIS ST / ASHBY AVE","T",NA,1,"OF3TCN","Other","F","3","Traffic","Citation","No Search",37.8540403,-122.2732155,"Not Arrested","No",12,"6"
"1355","2015-00013407",2015-03-06 12:23:00,"ASHBY AVE / STANTON ST","T",NA,1,"AM2TCN","Asian","M","2","Traffic","Citation","No Search",37.8532421,-122.2799575,"Not Arrested","No",12,"6"
"1356","2015-00013410",2015-03-06 12:35:00,"SIXTY-SIXTH ST / HOLLIS ST","1196",NA,1,"HM4TCN","Hispanic","M","4","Traffic","Citation","No Search",37.849651,-122.2923223,"Not Arrested","No",12,"6"
"1357","2015-00013418",2015-03-06 13:18:00,"2100 BLOCK SHATTUCK AVE","1194",NA,1,"WM4RWN","White","M","4","Reasonable Suscipcion","Warning","No Search",37.8711217,-122.2682992,"Not Arrested","No",13,"6"
"1358","2015-00013422",2015-03-06 13:36:00,"MURRAY ST / SEVENTH ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8508096,-122.2910473,"Not Arrested","No",13,"6"
"1359","2015-00013431",2015-03-06 14:12:00,"37.8730883810001~-122.305532842","T",NA,1,"WF2TCN","White","F","2","Traffic","Citation","No Search",37.8730883810001,-122.305532842,"Not Arrested","No",14,"6"
"1360","2015-00013466",2015-03-06 16:57:00,"37.8693028530001~-122.272234021","1194","AR",1,"HM3RAS","Hispanic","M","3","Reasonable Suscipcion","Arrest","Search",37.8693028530001,-122.272234021,"Arrested","No",16,"6"
"1361","2015-00013487",2015-03-06 19:20:00,"OREGON ST / TELEGRAPH AVE","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8586101,-122.2593809,"Not Arrested","No",19,"6"
"1362","2015-00013490",2015-03-06 19:23:00,"SAN PABLO AVE / BLAKE ST","1194",NA,1,"WM2TWN","White","M","2","Traffic","Warning","No Search",37.8602351,-122.2893435,"Not Arrested","No",19,"6"
"1363","2015-00013491",2015-03-06 19:25:00,"OREGON ST / MCGEE AVE","T",NA,1,"WM4TWS","White","M","4","Traffic","Warning","Search",37.8565758,-122.2752521,"Not Arrested","No",19,"6"
"1364","2015-00013493",2015-03-06 19:37:00,"SEVENTH ST / CHANNING WAY","T",NA,1,"HM4TWN","Hispanic","M","4","Traffic","Warning","No Search",37.8619561,-122.2946149,"Not Arrested","No",19,"6"
"1365","2015-00013498",2015-03-06 19:48:00,"SAN PABLO AVE / ALLSTON WAY","T",NA,1,"HF4TWN","Hispanic","F","4","Traffic","Warning","No Search",37.8663933,-122.2911943,"Not Arrested","No",19,"6"
"1366","2015-00013504",2015-03-06 20:11:00,"SIXTY-SECOND ST / CALIFORNIA ST","T",NA,1,"BM3TWN","Black","M","3","Traffic","Warning","No Search",37.8637919,-122.2790677,"Not Arrested","No",20,"6"
"1367","2015-00013509",2015-03-06 20:20:00,"UNIVERSITY AVE / ACTON ST","T",NA,1,"HM3TWN","Hispanic","M","3","Traffic","Warning","No Search",37.8700631,-122.2842597,"Not Arrested","No",20,"6"
"1368","2015-00013510",2015-03-06 20:20:00,"2400 BLOCK SACRAMENTO ST","1194B",NA,1,"BM4TWN","Black","M","4","Traffic","Warning","No Search",37.8638261,-122.2815682,"Not Arrested","No",20,"6"
"1369","2015-00013513",2015-03-06 20:48:00,"TELEGRAPH AVE / ASHBY AVE","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.856192,-122.2596161,"Not Arrested","No",20,"6"
"1370","2015-00013514",2015-03-06 20:48:00,"SAN PABLO AVE / UNIVERSITY AVE","T",NA,1,"BM4TWN","Black","M","4","Traffic","Warning","No Search",37.8690521,-122.2921723,"Not Arrested","No",20,"6"
"1371","2015-00013530",2015-03-06 21:54:00,"SAN PABLO AVE / DELAWARE ST","T",NA,1,"BM4TCN","Black","M","4","Traffic","Citation","No Search",37.8716935,-122.2929202,"Not Arrested","No",21,"6"
"1372","2015-00013548",2015-03-06 23:19:00,"SACRAMENTO ST / HARMON ST","1196",NA,1,"BM3TWN","Black","M","3","Traffic","Warning","No Search",37.8488219,-122.2780332,"Not Arrested","No",23,"6"
"1373","2015-00013555",2015-03-07 00:01:00,"SHATTUCK AVE / CARLETON ST","T",NA,1,"OM4TWN","Other","M","4","Traffic","Warning","No Search",37.8612545,-122.2671221,"Not Arrested","No",0,"7"
"1374","2015-00013556",2015-03-07 00:08:00,"UNIVERSITY AVE / TENTH ST","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.8688246,-122.2932768,"Not Arrested","No",0,"7"
"1375","2015-00013559",2015-03-07 00:28:00,"OXFORD ST / UNIVERSITY AVE","T",NA,1,"AF2TWN","Asian","F","2","Traffic","Warning","No Search",37.8723917,-122.2661629,"Not Arrested","No",0,"7"
"1376","2015-00013569",2015-03-07 02:00:00,"FULTON ST / DURANT AVE","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.8669493,-122.2657063,"Not Arrested","No",2,"7"
"1377","2015-00013571",2015-03-07 02:07:00,"UNIVERSITY AVE / NINTH ST","T",NA,1,"OM3TWN","Other","M","3","Traffic","Warning","No Search",37.8687133,-122.2944035,"Not Arrested","No",2,"7"
"1378","2015-00013581",2015-03-07 08:12:00,"BLAKE ST / SHATTUCK AVE","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8630812,-122.2671851,"Not Arrested","No",8,"7"
"1379","2015-00013600",2015-03-07 10:46:00,"DURANT AVE / ELLSWORTH ST","T",NA,1,"AF2TWN","Asian","F","2","Traffic","Warning","No Search",37.8672329,-122.2635606,"Not Arrested","No",10,"7"
"1380","2015-00013603",2015-03-07 11:04:00,"MILVIA ST / BERKELEY WAY","T",NA,1,"AF3TCN","Asian","F","3","Traffic","Citation","No Search",37.8726933,-122.2707499,"Not Arrested","No",11,"7"
"1381","2015-00013614",2015-03-07 12:02:00,"SHATTUCK AVE / FRANCISCO ST","1194",NA,1,"BM4RON","Black","M","4","Reasonable Suscipcion","Other","No Search",37.8756785,-122.2687298,"Not Arrested","No",12,"7"
"1382","2015-00013615",2015-03-07 12:12:00,"TELEGRAPH AVE / DWIGHT WAY","T",NA,1,"HM4TWN","Hispanic","M","4","Traffic","Warning","No Search",37.8651365,-122.2584315,"Not Arrested","No",12,"7"
"1383","2015-00013620",2015-03-07 12:33:00,"BANCROFT WAY / EDWARDS ST","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8656723,-122.2826637,"Not Arrested","No",12,"7"
"1384","2015-00013656",2015-03-07 15:04:00,"SHATTUCK AVE / ALLSTON WAY","1194",NA,1,"HF2RCS","Hispanic","F","2","Reasonable Suscipcion","Citation","Search",37.8693997,-122.2678732,"Not Arrested","No",15,"7"
"1385","2015-00013663",2015-03-07 15:33:00,"SHATTUCK AVE / ALLSTON WAY","1194",NA,1,"WM2RWN","White","M","2","Reasonable Suscipcion","Warning","No Search",37.8693997,-122.2678732,"Not Arrested","No",15,"7"
"1386","2015-00013693",2015-03-07 18:30:00,"HASTE ST / TELEGRAPH AVE","T",NA,1,"BF2TCN","Black","F","2","Traffic","Citation","No Search",37.8660242,-122.2586271,"Not Arrested","No",18,"7"
"1387","2015-00013698",2015-03-07 19:01:00,"ALLSTON WAY / M L KING JR WAY","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8687926,-122.2726916,"Not Arrested","No",19,"7"
"1388","2015-00013705",2015-03-07 19:34:00,"UNIVERSITY AVE / FIFTH ST","T",NA,1,"BM1TWN","Black","M","1","Traffic","Warning","No Search",37.8676382,-122.2987604,"Not Arrested","No",19,"7"
"1389","2015-00013709",2015-03-07 20:04:00,"MABEL ST / ASHBY AVE","1194",NA,1,"WF4ION","White","F","4","Investigation","Other","No Search",37.8527429,-122.2836967,"Not Arrested","No",20,"7"
"1390","2015-00013710",2015-03-07 20:11:00,"UNIVERSITY AVE / BONAR ST","T",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.8697553,-122.2875161,"Not Arrested","No",20,"7"
"1391","2015-00013711",2015-03-07 20:13:00,"WOOLSEY ST / CALIFORNIA ST","T",NA,1,"WM3TWN","White","M","3","Traffic","Warning","No Search",37.8525446,-122.2633033,"Not Arrested","No",20,"7"
"1392","2015-00013714",2015-03-07 20:28:00,"TELEGRAPH AVE / WOOLSEY ST","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.8529677,-122.2601833,"Not Arrested","No",20,"7"
"1393","2015-00013715",2015-03-07 20:29:00,"FAIRVIEW ST / ADELINE ST","1194",NA,1,"BM4ION","Black","M","4","Investigation","Other","No Search",37.8506846,-122.2706115,"Not Arrested","No",20,"7"
"1394","2015-00013720",2015-03-07 20:43:00,"STANFORD AVE / SAN PABLO AVE","T",NA,1,"AM2TWN","Asian","M","2","Traffic","Warning","No Search",37.8408391,-122.2831,"Not Arrested","No",20,"7"
"1395","2015-00013723",2015-03-07 20:48:00,"PARKER ST / TELEGRAPH AVE","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.8632607,-122.258654,"Not Arrested","No",20,"7"
"1396","2015-00013724",2015-03-07 20:53:00,"FRANCISCO ST / SHATTUCK AVE","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8756785,-122.2687298,"Not Arrested","No",20,"7"
"1397","2015-00013725",2015-03-07 20:53:00,"SAN PABLO AVE / STANFORD AVE","T",NA,1,"AM3TWN","Asian","M","3","Traffic","Warning","No Search",37.8408391,-122.2831,"Not Arrested","No",20,"7"
"1398","2015-00013728",2015-03-07 21:00:00,"M L KING JR WAY / CHANNING WAY","T",NA,1,"HM4TWN","Hispanic","M","4","Traffic","Warning","No Search",37.8651782,-122.2723067,"Not Arrested","No",21,"7"
"1399","2015-00013730",2015-03-07 21:03:00,"5900 BLOCK SAN PABLO AVE","1194B",NA,1,"WM3TWS","White","M","3","Traffic","Warning","Search",37.8420488,-122.2833329,"Not Arrested","No",21,"7"
"1400","2015-00013731",2015-03-07 21:04:00,"SACRAMENTO ST / DWIGHT WAY","T",NA,1,"HM2TWN","Hispanic","M","2","Traffic","Warning","No Search",37.8621859,-122.2811937,"Not Arrested","No",21,"7"
"1401","2015-00013735",2015-03-07 21:22:00,"IDAHO ST / ALCATRAZ AVE","T",NA,1,"BM2TWS","Black","M","2","Traffic","Warning","Search",37.8474242,-122.2813337,"Not Arrested","No",21,"7"
"1402","2015-00013736",2015-03-07 21:25:00,"DANA ST / DURANT AVE","T",NA,1,"WM2TWN","White","M","2","Traffic","Warning","No Search",37.8675165,-122.2612739,"Not Arrested","No",21,"7"
"1403","2015-00013737",2015-03-07 21:41:00,"TELEGRAPH AVE / ASHBY AVE","T","IN",1,"BM3TWS","Black","M","3","Traffic","Warning","Search",37.856192,-122.2596161,"Not Arrested","No",21,"7"
"1404","2015-00013738",2015-03-07 21:43:00,"FULTON ST / KITTREDGE ST","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8687275,-122.266171,"Not Arrested","No",21,"7"
"1405","2015-00013740",2015-03-07 21:52:00,"SAN PABLO AVE / CHANNING WAY","T",NA,1,"BM4TWN","Black","M","4","Traffic","Warning","No Search",37.862872,-122.2900545,"Not Arrested","No",21,"7"
"1406","2015-00013743",2015-03-07 22:02:00,"CARLETON ST / TELEGRAPH AVE","T",NA,1,"HM3TWS","Hispanic","M","3","Traffic","Warning","Search",37.8623298,-122.2588612,"Not Arrested","No",22,"7"
"1407","2015-00013745",2015-03-07 22:10:00,"TELEGRAPH AVE / SIXTY-THIRD ST","T",NA,1,"WM2TWS","White","M","2","Traffic","Warning","Search",37.874013,-122.303478,"Not Arrested","No",22,"7"
"1408","2015-00013746",2015-03-07 22:16:00,"UNIVERSITY AVE / CURTIS ST","T",NA,1,"BM4TWN","Black","M","4","Traffic","Warning","No Search",37.8693804,-122.2895262,"Not Arrested","No",22,"7"
"1409","2015-00013747",2015-03-07 22:18:00,"PRINCE ST / KING ST","T",NA,1,"BF3TWN","Black","F","3","Traffic","Warning","No Search",37.8524898,-122.2709328,"Not Arrested","No",22,"7"
"1410","2015-00013750",2015-03-07 22:35:00,"2400 BLOCK TELEGRAPH AVE","1194",NA,1,"WM4IWN","White","M","4","Investigation","Warning","No Search",37.8674642,-122.2594219,"Not Arrested","No",22,"7"
"1411","2015-00013751",2015-03-07 22:35:00,"UNIVERSITY AVE / SEVENTH ST","T",NA,1,"BF2TWS","Black","F","2","Traffic","Warning","Search",37.868252,-122.2966456,"Not Arrested","No",22,"7"
"1412","2015-00013752",2015-03-07 22:42:00,"SACRAMENTO ST / ALCATRAZ AVE","T",NA,1,"OM4TWN","Other","M","4","Traffic","Warning","No Search",37.8479133,-122.2776885,"Not Arrested","No",22,"7"
"1413","2015-00013758",2015-03-07 22:57:00,"61ST ST / M L KING JR WAY","T",NA,1,"HM2TWN","Hispanic","M","2","Traffic","Warning","No Search",37.8460619,-122.2708551,"Not Arrested","No",22,"7"
"1414","2015-00013759",2015-03-07 22:59:00,"CHANNING WAY / M L KING JR WAY","T",NA,1,"HM2TWN","Hispanic","M","2","Traffic","Warning","No Search",37.8651782,-122.2723067,"Not Arrested","No",22,"7"
"1415","2015-00013760",2015-03-07 23:02:00,"UNIVERSITY AVE / SIXTH ST","T","P",1,"BF2TAS","Black","F","2","Traffic","Arrest","Search",37.868032,-122.2977077,"Arrested","No",23,"7"
"1416","2015-00013770",2015-03-07 23:39:00,"2900 BLOCK TELEGRAPH AVE","T",NA,1,"BM2TCN","Black","M","2","Traffic","Citation","No Search",37.8574893,-122.2598177,"Not Arrested","No",23,"7"
"1417","2015-00013774",2015-03-08 00:00:00,"2900 BLOCK SHATTUCK AVE","T",NA,1,"AM2TWN","Asian","M","2","Traffic","Warning","No Search",37.8565551,-122.2669058,"Not Arrested","No",0,"1"
"1418","2015-00013779",2015-03-08 00:10:00,"ASHBY AVE/DOHR ST","T",NA,1,"BF2IWN","Black","F","2","Investigation","Warning","No Search",37.8532331,-122.2804748,"Not Arrested","No",0,"1"
"1419","2015-00013783",2015-03-08 00:30:00,"1700 BLOCK OREGON ST","1194",NA,1,"OM2IWN","Other","M","2","Investigation","Warning","No Search",37.856376,-122.275019,"Not Arrested","No",0,"1"
"1420","2015-00013789",2015-03-08 00:50:00,"HEARST AVE / FOURTH ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8688788,-122.3002756,"Not Arrested","No",0,"1"
"1421","2015-00013791",2015-03-08 00:52:00,"2500 BLOCK PIEDMONT AVE","T",NA,1,"OM2TWN","Other","M","2","Traffic","Warning","No Search",37.865845,-122.2516496,"Not Arrested","No",0,"1"
"1422","2015-00013795",2015-03-08 01:15:00,"UNIVERSITY AVE / SEVENTH ST","T",NA,1,"OF4TWN","Other","F","4","Traffic","Warning","No Search",37.868252,-122.2966456,"Not Arrested","No",1,"1"
"1423","2015-00013796",2015-03-08 01:23:00,"M L KING JR WAY / BANCROFT WAY","T",NA,1,"BM2TWN","Black","M","2","Traffic","Warning","No Search",37.8669897,-122.2725025,"Not Arrested","No",1,"1"
"1424","2015-00013801",2015-03-08 01:54:00,"BANCROFT WAY / COLLEGE AVE","T",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.8692972,-122.2546034,"Not Arrested","No",1,"1"
"1425","2015-00013802",2015-03-08 01:55:00,"COLLEGE AVE / DURANT AVE","T",NA,1,"BM2TWS","Black","M","2","Traffic","Warning","Search",37.8683469,-122.2544485,"Not Arrested","No",1,"1"
"1426","2015-00013804",2015-03-08 03:05:00,"37.8680172840001~-122.303776422","T",NA,1,"AM2TWN","Asian","M","2","Traffic","Warning","No Search",37.8680172840001,-122.303776422,"Not Arrested","No",3,"1"
"1427","2015-00013811",2015-03-08 03:24:00,"EASTSHORE HWY / GILMAN ST","1196",NA,1,"BM3IWN","Black","M","3","Investigation","Warning","No Search",37.8783265,-122.3064837,"Not Arrested","No",3,"1"
"1428","2015-00013813",2015-03-08 03:32:00,"DURANT AVE / FULTON ST","T",NA,1,"BM2TWS","Black","M","2","Traffic","Warning","Search",37.8669493,-122.2657063,"Not Arrested","No",3,"1"
"1429","2015-00013823",2015-03-08 04:29:00,"SAN PABLO AVE / OREGON ST","T",NA,1,"HF2TWN","Hispanic","F","2","Traffic","Warning","No Search",37.8549017,-122.2876222,"Not Arrested","No",4,"1"
"1430","2015-00013838",2015-03-08 09:41:00,"ADELINE ST / FAIRVIEW ST","T",NA,1,"WF3TCN","White","F","3","Traffic","Citation","No Search",37.8506846,-122.2706115,"Not Arrested","No",9,"1"
