Incident Number,Call Date/Time,Location,Incident Type,Dispositions
2015-00017112,03/24/2015 04:25:00 AM,KITTREDGE ST / SHATTUCK AVE,1194,WM2IWN
2015-00017113,03/24/2015 04:48:00 AM,ADDISON ST / M L KING JR WAY,T,OM4TWN
2015-00017130,03/24/2015 07:10:00 AM,1700 BLOCK SAN PABLO AVE,1194,BM4RCN
2015-00017131,03/24/2015 07:14:00 AM,2100 BLOCK BERKELEY WAY,1194,M
2015-00017136,03/24/2015 07:39:00 AM,2000 BLOCK SAN PABLO AVE,1194,BM4RCN
2015-00017137,03/24/2015 07:50:00 AM,SPRUCE ST / CEDAR ST,T,WF4TON
2015-00017146,03/24/2015 08:57:00 AM,CALIFORNIA ST / ALLSTON WAY,T,WF4TWN
2015-00017159,03/24/2015 10:22:00 AM,SAN PABLO AVE / UNIVERSITY AVE,1194,BM4TCN
2015-00017167,03/24/2015 10:58:00 AM,2100 BLOCK BERKELEY WAY,1194,WM4IWN
2015-00017169,03/24/2015 11:12:00 AM,2200 BLOCK ASHBY AVE,T,OM3TCN
2015-00017170,03/24/2015 11:14:00 AM,TELEGRAPH AVE / BANCROFT WAY,T,AM2TCN
2015-00017173,03/24/2015 11:23:00 AM,2100 BLOCK DERBY ST,T,WM4TCN
2015-00017179,03/24/2015 11:31:00 AM,FULTON ST / CHANNING WAY,T,AM2TCN
2015-00017181,03/24/2015 11:40:00 AM,CHANNING WAY / FULTON ST,T,OF2TCN
2015-00017185,03/24/2015 11:51:00 AM,2200 BLOCK SHATTUCK AVE,1194,M
2015-00017187,03/24/2015 11:56:00 AM,UNIVERSITY AVE / CALIFORNIA ST,T,HM3TCS
2015-00017201,03/24/2015 01:10:00 PM,2200 BLOCK SHATTUCK AVE,1194,WM3RCN
2015-00017202,03/24/2015 01:11:00 PM,CALIFORNIA ST / FRANCISCO ST,1194B,
2015-00017208,03/24/2015 01:38:00 PM,2500 BLOCK TELEGRAPH AVE,1194,WM4RCN
2015-00017225,03/24/2015 03:12:00 PM,BANCROFT WAY / CALIFORNIA ST,T,M
2015-00017236,03/24/2015 04:50:00 PM,59TH ST/M L KING JR WAY,T,M
2015-00017238,03/24/2015 04:56:00 PM,STANFORD AVE / MARKET ST,T,M
2015-00017248,03/24/2015 05:30:00 PM,2200 BLOCK SHATTUCK AVE,1194,WM2RCN
2015-00017251,03/24/2015 05:52:00 PM,TENTH ST / BANCROFT WAY,T,M
2015-00017253,03/24/2015 06:05:00 PM,2400 BLOCK TELEGRAPH AVE,1194,OM2RCN
2015-00017257,03/24/2015 06:19:00 PM,2400 BLOCK TELEGRAPH AVE,1194,"OM2RCN, M"
2015-00017260,03/24/2015 06:32:00 PM,TENTH ST / DWIGHT WAY,1194B,"BM4KWS, M"
2015-00017261,03/24/2015 06:43:00 PM,2200 BLOCK SAN PABLO AVE,1194B,M
2015-00017264,03/24/2015 06:56:00 PM,SHATTUCK AVE/ROSE ST,1194,WM4IWN
2015-00017268,03/24/2015 07:16:00 PM,1600 BLOCK SHATTUCK AVE,1194,WM4IWN
2015-00017287,03/24/2015 09:57:00 PM,SAN PABLO AVE / GRAYSON ST,1194,HM2RAS
2015-00017305,03/24/2015 11:51:00 PM,HILLEGASS AVE / DWIGHT WAY,1194,M
2015-00017318,03/25/2015 04:15:00 AM,HERZOG ST / ALCATRAZ AVE,1194,AR
2015-00017323,03/25/2015 06:33:00 AM,SACRAMENTO ST / UNIVERSITY AVE,T,WM2TWN
2015-00017327,03/25/2015 07:01:00 AM,2000 BLOCK SAN PABLO AVE,1194,BM4RCN
2015-00017331,03/25/2015 07:22:00 AM,1700 BLOCK SAN PABLO AVE,1194,BM4RCN
2015-00017354,03/25/2015 10:39:00 AM,37.8668204207967~-122.303719807903,T,WF4TCN
2015-00017357,03/25/2015 10:54:00 AM,2200 BLOCK GRANT ST,T,BF2TWN
2015-00017358,03/25/2015 11:09:00 AM,ASHBY AVE / SEVENTH ST,T,M
2015-00017361,03/25/2015 11:18:00 AM,SEVENTH ST / ASHBY AVE,T,BF3TCN
2015-00017364,03/25/2015 11:36:00 AM,SEVENTH ST / DWIGHT WAY,T,HM3TCN
2015-00017368,03/25/2015 11:50:00 AM,UNIVERSITY AVE / BONAR ST,T,AF3TCN
2015-00017375,03/25/2015 12:17:00 PM,ALLSTON WAY / MCGEE AVE,T,WM4TCN
2015-00017376,03/25/2015 12:20:00 PM,UNIVERSITY AVE / SAN PABLO AVE,T,WM2TCN
2015-00017377,03/25/2015 12:22:00 PM,1700 BLOCK SAN PABLO AVE,1194,BM4RCN
2015-00017380,03/25/2015 12:28:00 PM,2200 BLOCK GRANT ST,T,OM3TON
2015-00017386,03/25/2015 12:57:00 PM,2000 BLOCK ALLSTON WAY,1194,WM3RWN
2015-00017394,03/25/2015 01:46:00 PM,2200 BLOCK SHATTUCK AVE,1194,BM3RCN
2015-00017399,03/25/2015 02:25:00 PM,800 BLOCK HEARST AVE,1194,"AR, M"
2015-00017419,03/25/2015 04:09:00 PM,2200 BLOCK SHATTUCK AVE,1194,WM2RCN
2015-00017436,03/25/2015 05:20:00 PM,2600 BLOCK SAN PABLO,1196,M
2015-00017440,03/25/2015 05:33:00 PM,SACRAMENTO ST / RUSSELL ST,T,"FC, BM3TWN"
2015-00017450,03/25/2015 06:25:00 PM,2300 BLOCK COLLEGE AVE,1194,MH
2015-00017513,03/26/2015 12:56:00 AM,2500 BLOCK DURANT AVE,T,WM2TWN
2015-00017515,03/26/2015 01:18:00 AM,2400 BLOCK HASTE ST,1194B,WM3RWN
2015-00017516,03/26/2015 01:28:00 AM,SHATTUCK AVE / UNIVERSITY AVE,T,AF2TWN
2015-00017519,03/26/2015 02:39:00 AM,CLAREMONT AVE / ASHBY AVE,T,BM2TWN
2015-00017520,03/26/2015 03:05:00 AM,CLAREMONT CIR/ASH,T,WF4TWN
2015-00017523,03/26/2015 03:25:00 AM,3100 BLOCK ADELINE ST,1194,BM3TWS
2015-00017537,03/26/2015 08:35:00 AM,BERKELEY WAY / WALNUT ST,1194,BM3TCN
2015-00017568,03/26/2015 12:07:00 PM,CHANNING WAY / EIGHTH ST,T,BM4TCN
2015-00017584,03/26/2015 01:34:00 PM,UNIVERSITY AVE / SAN PABLO AVE,T,OM2TCN
2015-00017585,03/26/2015 01:42:00 PM,TELEGRAPH AVE / HASTE ST,1194,WM3KWS
2015-00017596,03/26/2015 03:03:00 PM,POE ST / BONAR ST,1196,IN
2015-00017607,03/26/2015 04:11:00 PM,SIXTY-SIXTH ST / HERZOG ST,1194B,M
2015-00017616,03/26/2015 04:20:00 PM,2100 BLOCK SHATTUCK AVE,1194,M
2015-00017633,03/26/2015 05:13:00 PM,37.8693028530001~-122.272234021,1194,"AR, BM4RAS"
2015-00017635,03/26/2015 05:27:00 PM,SAN PABLO AVE / CHANNING WAY,T,BM3TWN
2015-00017639,03/26/2015 05:41:00 PM,DELAWARE ST / ACTON ST,T,WM3TCN
2015-00017644,03/26/2015 06:01:00 PM,UNIVERSITY AVE / TENTH ST,T,WM2TWN
2015-00017651,03/26/2015 06:36:00 PM,UNIVERSITY AVE / ACTON ST,T,WM4TCN
2015-00076013,12/31/2015 09:40:00 PM,1400 BLOCK SHATTUCK AVE,T,WM4IWN
2015-00017653,03/26/2015 06:38:00 PM,SAN PABLO AVE / HASKELL ST,1194B,0
2015-00017654,03/26/2015 06:38:00 PM,58TH ST / MARKET ST,T,AR
2015-00017657,03/26/2015 06:43:00 PM,ALCATRAZ AVE / ELLIS ST,1194B,BM4TWN
2015-00017659,03/26/2015 06:47:00 PM,MABEL ST / HASKELL ST,T,BM2TWN
2015-00017662,03/26/2015 06:53:00 PM,SHATTUCK AVE / LINCOLN ST,T,WF4TWN
2015-00017663,03/26/2015 07:17:00 PM,NINTH ST / CHANNING WAY,T,BM3TCS
2015-00017666,03/26/2015 07:24:00 PM,SHATTUCK AVE / STUART ST,1194B,OM4RWN
2015-00017667,03/26/2015 07:26:00 PM,BANCROFT WAY / TELEGRAPH AVE,T,P
2015-00017669,03/26/2015 07:37:00 PM,MARKET ST / 61ST ST,T,M
2015-00017670,03/26/2015 07:37:00 PM,KITTREDGE ST / SHATTUCK AVE,T,WF4TWN
2015-00017671,03/26/2015 07:38:00 PM,SAN PABLO AVE / BANCROFT WAY,T,OM4TWN
2015-00017672,03/26/2015 07:45:00 PM,ASHBY AVE / SAN PABLO AVE,T,M
2015-00017677,03/26/2015 08:05:00 PM,54TH ST / M L KING JR WAY,T,M
2015-00017678,03/26/2015 08:06:00 PM,CENTER ST / SHATTUCK AVE,T,WM4TCN
2015-00017685,03/26/2015 08:28:00 PM,VIRGINIA ST / SAN PABLO AVE,T,WM3TCN
2015-00017686,03/26/2015 08:29:00 PM,CALIFORNIA ST / ALCATRAZ AVE,T,M
2015-00017696,03/26/2015 09:41:00 PM,CALIFORNIA ST / ALCATRAZ AVE,T,WM2TWN
2015-00017706,03/26/2015 10:14:00 PM,BLAKE ST / TELEGRAPH AVE,1194,AR
2015-00017710,03/26/2015 10:46:00 PM,UNIVERSITY AVE / ACTON ST,T,HM4TWN
2015-00017715,03/26/2015 11:03:00 PM,RUSSELL ST / SACRAMENTO ST,T,BM2TWS
2015-00017717,03/26/2015 11:19:00 PM,SHATTUCK AVE / UNIVERSITY AVE,T,BM4TCN
2015-00017719,03/26/2015 11:28:00 PM,CARRISON ST / MABEL ST,T,BM2TWS
2015-00017724,03/27/2015 12:16:00 AM,UNI/6,T,BM3TWN
2015-00017726,03/27/2015 12:21:00 AM,SAN PABLO AVE / HARRISON ST,T,BM4TWN
2015-00017727,03/27/2015 12:28:00 AM,HEARST AVE / SAN PABLO AVE,T,WM3TWN
2015-00017729,03/27/2015 12:41:00 AM,ASHBY AVE/DEAKIN ST,T,AM2TWN
2015-00017733,03/27/2015 12:53:00 AM,2500 BLOCK TELEGRAPH AVE,1194,WM4IWN
2015-00017734,03/27/2015 01:05:00 AM,2500 BLOCK HASTE ST,T,OM2TWN
2015-00017737,03/27/2015 01:43:00 AM,SACRAMENTO ST / STUART ST,T,AR
2015-00017742,03/27/2015 02:27:00 AM,MILVIA ST / ADDISON ST,T,WM2TCN
2015-00074131,12/20/2015 10:12:00 PM,1400 BLOCK SHATTUCK AVE,T,WF1TWN
2015-00017747,03/27/2015 03:12:00 AM,2400 BLOCK FULTON ST,T,WM2TWN
2015-00017751,03/27/2015 04:20:00 AM,UNIVERSITY AVE / SIXTH ST,T,BM2TWN
2015-00017806,03/27/2015 11:40:00 AM,37.8661036188751~-122.305688135031,T,OF2TWN
2015-00017818,03/27/2015 12:39:00 PM,37.8693028530001~-122.272234021,1194,BM2RWN
2015-00017825,03/27/2015 12:59:00 PM,2000 BLOCK KITTREDGE ST,1194,M
2015-00017828,03/27/2015 01:06:00 PM,2200 BLOCK SHATTUCK AVE,1194,"WF2RCN, WM2RCN"
2015-00017846,03/27/2015 02:39:00 PM,UNIVERSITY AVE / SACRAMENTO ST,T,WF4TWN
2015-00017908,03/27/2015 06:38:00 PM,SAN PABLO AVE / OREGON ST,T,BF4TWN
2015-00017923,03/27/2015 07:33:00 PM,WARD ST / CALIFORNIA ST,1196,HM2TCS
2015-00017931,03/27/2015 07:58:00 PM,2100 BLOCK SHATTUCK AVE,1194,BM1RCN
2015-00017943,03/27/2015 09:13:00 PM,SAN PABLO AVE / FOLGER AVE,T,WM2TWN
2015-00017950,03/27/2015 09:37:00 PM,HASTE ST / FULTON ST,T,AR
2015-00017952,03/27/2015 09:42:00 PM,2500 BLOCK NINTH ST,1194B,HM3WWS
2015-00017962,03/27/2015 10:36:00 PM,WOOLSEY ST / ELLIS ST,T,BM2TWN
2015-00017966,03/27/2015 11:15:00 PM,WARD ST / PARK ST,1194B,BM2TWS
2015-00017968,03/27/2015 11:20:00 PM,BANCROFT WAY / TELEGRAPH AVE,T,BM2TWN
2015-00017969,03/27/2015 11:34:00 PM,JULIA ST / KING ST,T,OM2TWN
2015-00017983,03/28/2015 12:54:00 AM,SAN PABLO AVE / GRAYSON ST,T,OM2TWN
2015-00017985,03/28/2015 01:20:00 AM,UNIVERSITY AVE / SAN PABLO AVE,T,WM2TWN
2015-00017986,03/28/2015 01:33:00 AM,SIXTH ST / UNIVERSITY AVE,T,"WM2TAS, P"
2015-00017988,03/28/2015 02:02:00 AM,ALLSTON WAY / BYRON ST,T,"TOW, BM2TCS"
2015-00017993,03/28/2015 03:06:00 AM,UNI/10TH,T,OM3TWN
2015-00017996,03/28/2015 03:15:00 AM,TELE/BLAKE,1194,M
2015-00018014,03/28/2015 10:38:00 AM,UNIVERSITY AVE / M L KING JR WAY,T,OF2TWN
2015-00018059,03/28/2015 04:15:00 PM,2200 BLOCK M L KING JR WAY,T,WM2TWS
2015-00018060,03/28/2015 04:20:00 PM,2200 BLOCK SHATTUCK AVE,1194,"AR, BF3RAS"
2015-00020689,04/10/2015 12:56:00 AM,SHATU/KITT,T,HM4TWN
2015-00018085,03/28/2015 06:54:00 PM,SAN PABLO AVE / GILMAN ST,T,HM2TWN
2015-00018086,03/28/2015 06:55:00 PM,2500 BLOCK HASTE ST,T,BM2TCS
2015-00018087,03/28/2015 06:57:00 PM,HEARST AVE / SHATTUCK AVE,T,BF4TWN
2015-00018192,03/29/2015 08:57:00 AM,SEVENTH ST / ASHBY AVE,T,BM3TCN
2015-00018088,03/28/2015 07:03:00 PM,SEVENTH ST / VIRGINIA ST,T,"TOW, WM4TCS"
2015-00018091,03/28/2015 07:21:00 PM,SACRAMENTO ST / FAIRVIEW ST,T,P
2015-00018095,03/28/2015 07:44:00 PM,ADELINE ST / EMERSON ST,T,BM2TWN
2015-00018099,03/28/2015 07:56:00 PM,RUSSELL ST / MCGEE AVE,1196,BM2TWN
2015-00018103,03/28/2015 08:14:00 PM,SACRAMENTO ST / HARMON ST,T,WM2TWN
2015-00018104,03/28/2015 08:16:00 PM,TELEGRAPH AVE / RUSSELL ST,T,WM2TWN
2015-00018106,03/28/2015 08:27:00 PM,HASTE ST / ELLSWORTH ST,T,HM3TWN
2015-00018108,03/28/2015 08:32:00 PM,37.8693028530001~-122.272234021,1194,"WF4RCN, BM4RCN"
2015-00018110,03/28/2015 08:33:00 PM,SHATTUCK AVE / DURANT AVE,T,HM3TWN
2015-00018112,03/28/2015 08:43:00 PM,SHATTUCK AVE / DWIGHT WAY,T,HM3TWN
2015-00018115,03/28/2015 09:01:00 PM,NINTH ST / CARLETON ST,1196,WF4ION
2015-00018119,03/28/2015 09:20:00 PM,1800 BLOCK FOURTH ST,1194,P
2015-00018125,03/28/2015 09:42:00 PM,ASHBY AVE/DOHR ST,T,HM2TWN
2015-00018128,03/28/2015 09:51:00 PM,SHATTUCK AVE / ASHBY AVE,T,HM3TCN
2015-00018138,03/28/2015 11:10:00 PM,SHATTUCK AVE / OREGON ST,T,HM4TWN
2015-00018140,03/28/2015 11:18:00 PM,CARLETON ST / ELLSWORTH ST,1196,WM1RON
2015-00018142,03/28/2015 11:26:00 PM,CHANNING WAY / BOWDITCH ST,T,BM2TWN
2015-00018143,03/28/2015 11:30:00 PM,TELEGRAPH AVE / HASTE ST,T,BM1TCN
2015-00018144,03/28/2015 11:33:00 PM,SHATTUCK AVE / PARKER ST,T,BM2TWN
2015-00018147,03/28/2015 11:46:00 PM,BANCROFT WAY / SHATTUCK AVE,T,HM1TWS
2015-00018148,03/28/2015 11:52:00 PM,FULTON ST / DURANT AVE,T,WM4TWN
2015-00018149,03/28/2015 11:58:00 PM,GRANT ST / UNIVERSITY AVE,T,HM3TWN
2015-00018158,03/29/2015 12:49:00 AM,BOWDITCH ST / BANCROFT WAY,T,HM2TWN
2015-00018167,03/29/2015 01:39:00 AM,40 BLOCK TUNNEL RD,T,HM2TWS
2015-00018171,03/29/2015 02:37:00 AM,UNIVERSITY AVE / BONAR ST,1196,P
2015-00018172,03/29/2015 02:43:00 AM,M L KING JR WAY / PRINCE ST,T,WM2TWN
2015-00018173,03/29/2015 02:46:00 AM,2000 BLOCK ALLSTON WAY,1194,BM2RWN
2015-00018174,03/29/2015 02:49:00 AM,M L KING JR WAY / ADELINE ST,T,BF2TWN
2015-00018177,03/29/2015 03:37:00 AM,SHATTUCK AVE / WARD ST,T,HF3TWN
2015-00018191,03/29/2015 08:49:00 AM,SACRAMENTO ST / HEARST AVE,T,WF4TCN
2015-00018200,03/29/2015 09:55:00 AM,SHATTUCK AVE / CHANNING WAY,T,WF4TCN
2015-00018235,03/29/2015 03:02:00 PM,ADDISON ST / MCGEE AVE,T,WF2TWN
2015-00018241,03/29/2015 03:44:00 PM,M L KING JR WAY / BANCROFT WAY,T,BM4TCN
2015-00018243,03/29/2015 03:52:00 PM,DWIGHT WAY / TELEGRAPH AVE,1194,MH
2015-00018251,03/29/2015 05:12:00 PM,ASHBY AVE / MABEL ST,1196,P
2015-00018260,03/29/2015 06:45:00 PM,KITTREDGE ST / FULTON ST,T,WF4TCN
2015-00018265,03/29/2015 07:06:00 PM,ADELINE ST / ESSEX ST,T,"TOW, BM2TCS"
2015-00018266,03/29/2015 07:08:00 PM,UNIVERSITY AVE / SHATTUCK AVE,T,WM4TCN
2015-00018267,03/29/2015 07:29:00 PM,BANCROFT WAY / DANA ST,T,BM4TWN
2015-00018268,03/29/2015 07:29:00 PM,SIXTH ST / UNIVERSITY AVE,T,WF2TWN
2015-00018278,03/29/2015 08:18:00 PM,SHATTUCK AVE / PARKER ST,T,BF2TCN
2015-00018282,03/29/2015 08:45:00 PM,37.895355453~-122.273583691,1196,AM2RWN
2015-00018305,03/29/2015 11:04:00 PM,SAN PABLO AVE / SIXTY-FIFTH ST,T,BF4TWS
2015-00018307,03/29/2015 11:24:00 PM,37.8609962420001~-122.256143699,1194,"WM3IWN, M"
2015-00018309,03/29/2015 11:33:00 PM,NINTH ST / PARKER ST,1194B,WM2TWS
2015-00018313,03/29/2015 11:52:00 PM,53RD/M L KING JR WAY,1196,M
2015-00018329,03/30/2015 02:22:00 AM,KITTREDGE ST / HAROLD WAY,T,BM2TWN
2015-00018361,03/30/2015 10:20:00 AM,SACRAMENTO ST / ALLSTON WAY,T,AF4TWN
2015-00018393,03/30/2015 01:27:00 PM,2300 BLOCK TELEGRAPH AVE,1194,OM3RWN
2015-00018394,03/30/2015 01:40:00 PM,37.865677884~-122.257266565,1194,M
2015-00018397,03/30/2015 01:57:00 PM,2400 BLOCK TELEGRAPH AVE,1194,WM3RCS
2015-00018399,03/30/2015 02:04:00 PM,2700 BLOCK CHANNING WAY,T,WM3TCN
2015-00018403,03/30/2015 02:36:00 PM,SACRAMENTO ST / HEARST AVE,T,WM4KCN
2015-00018406,03/30/2015 02:52:00 PM,ADDISON ST / SAN PABLO AVE,T,M
2015-00018424,03/30/2015 04:44:00 PM,VINE ST / SHATTUCK AVE,1194,BM4IWN
2015-00018429,03/30/2015 05:07:00 PM,UNIVERSITY AVE / GRANT ST,T,HF2TWN
2015-00018431,03/30/2015 05:17:00 PM,SHATTUCK AVE / ASHBY AVE,1194,OF4IWN
2015-00018443,03/30/2015 06:12:00 PM,CENTER ST / MILVIA ST,T,WF3TWN
2015-00018444,03/30/2015 06:17:00 PM,1900 BLOCK CENTER ST,1194,BM3RCN
2015-00018457,03/30/2015 07:38:00 PM,2000 BLOCK KITTREDGE ST,T,BM2TWN
2015-00018476,03/30/2015 09:17:00 PM,SACRAMENTO ST / JULIA ST,T,OM2TWN
2015-00018481,03/30/2015 09:48:00 PM,1600 BLOCK WARD ST,T,HM2TCN
2015-00018482,03/30/2015 09:51:00 PM,ADELINE ST / EMERSON ST,T,BM2TWN
2015-00018483,03/30/2015 09:55:00 PM,MILVIA ST / DWIGHT WAY,T,WM4TWN
2015-00018486,03/30/2015 10:06:00 PM,BOWDITCH ST / HASTE ST,T,OM2TWN
2015-00018489,03/30/2015 10:23:00 PM,TELEGRAPH AVE / HASTE ST,T,BM2TCN
2015-00018496,03/30/2015 10:52:00 PM,CARLETON ST / MABEL ST,T,HM2TCS
2015-00018510,03/31/2015 01:34:00 AM,SEAWALL DR / UNIVERSITY AVE,1196,M
2015-00018511,03/31/2015 01:37:00 AM,ADDISON ST / CURTIS ST,1196,WF4TWN
2015-00018520,03/31/2015 02:16:00 AM,2200 BLOCK SHATTUCK AVE,1194,HM4IWS
2015-00018522,03/31/2015 02:27:00 AM,ADELINE ST / WOOLSEY ST,T,WM4TWN
2015-00018525,03/31/2015 03:16:00 AM,900 BLOCK CEDAR ST,1196,M
2015-00018527,03/31/2015 03:53:00 AM,TELEGRAPH AVE / WARD ST,T,WF4TWN
2015-00018538,03/31/2015 08:01:00 AM,ASHBY AVE / SEVENTH ST,T,WM4TCN
2015-00018539,03/31/2015 08:02:00 AM,37.8530825540103~-122.296837760146,1196,M
2015-00018540,03/31/2015 08:10:00 AM,POTTER ST / SEVENTH ST,T,WM3TCN
2015-00018541,03/31/2015 08:11:00 AM,GILMAN ST / W FRONTAGE RD,T,HF3TCN
2015-00018542,03/31/2015 08:16:00 AM,HEARST AVE / M L KING JR WAY,1194,WM4ICN
2015-00018544,03/31/2015 08:22:00 AM,ADELINE ST / HARMON ST,T,BF3TCS
2015-00018545,03/31/2015 08:26:00 AM,WF/UNI,T,AM3TCN
2015-00018546,03/31/2015 08:27:00 AM,BANCROFT WAY / BONAR ST,T,OF4TCN
2015-00018548,03/31/2015 08:32:00 AM,ASHBY AVE / SEVENTH ST,T,WF3TCN
2015-00018552,03/31/2015 08:36:00 AM,UNIVERSITY AVE / BONAR ST,T,WM3TCN
2015-00018556,03/31/2015 09:00:00 AM,UNIVERSITY AVE / W FRONTAGE RD,T,WF3TCN
2015-00018557,03/31/2015 09:04:00 AM,ADELINE ST / ASHBY AVE,T,WM2TCN
2015-00018558,03/31/2015 09:12:00 AM,WF/UNI,T,AM4TCN
2015-00018561,03/31/2015 09:19:00 AM,SAN PABLO AVE / UNIVERSITY AVE,T,BF4TCN
2015-00018564,03/31/2015 09:24:00 AM,SIXTH ST / ALLSTON WAY,T,BM4TCN
2015-00018566,03/31/2015 09:29:00 AM,SEVENTH ST / ANTHONY ST,T,BM4TCS
2015-00018568,03/31/2015 09:40:00 AM,DEL/6,T,BM2TCN
2015-00018574,03/31/2015 10:10:00 AM,TUNNEL RD / THE UPLANDS,T,"BM2TWN, M"
2015-00018575,03/31/2015 10:13:00 AM,HASTE/SHATTUCK,T,AM2TCN
2015-00018576,03/31/2015 10:14:00 AM,COLLEGE AVE / BANCROFT WAY,T,WF2TCN
2015-00018577,03/31/2015 10:16:00 AM,SIXTH ST / UNIVERSITY AVE,T,OM3TCN
2015-00018580,03/31/2015 10:30:00 AM,BANCROFT WAY / BARROWS LN,T,HF2TCN
2015-00018581,03/31/2015 10:32:00 AM,UNIVERSITY AVE / NINTH ST,T,WM2TCN
2015-00018582,03/31/2015 10:33:00 AM,FULTON ST / CHANNING WAY,T,WM4TCN
2015-00018585,03/31/2015 10:38:00 AM,EIGHTH ST / UNIVERSITY AVE,T,WM2TCN
2015-00018586,03/31/2015 10:44:00 AM,BANCROFT WAY / BOWDITCH ST,T,OM4TCN
2015-00018587,03/31/2015 10:47:00 AM,HEARST AVE / SAN PABLO AVE,T,WF4TCN
2015-00018590,03/31/2015 10:51:00 AM,SIXTH ST / UNIVERSITY AVE,T,WF3TCN
2015-00018593,03/31/2015 10:57:00 AM,SIXTH ST / UNIVERSITY AVE,T,WM4TCN
2015-00018594,03/31/2015 11:01:00 AM,SIXTH ST / UNIVERSITY AVE,T,BM4TCN
2015-00018597,03/31/2015 11:12:00 AM,37.8672155730001~-122.305158576,T,WF4TCN
2015-00018601,03/31/2015 11:25:00 AM,NINTH ST / ASHBY AVE,T,OM3TCN
2015-00018602,03/31/2015 11:26:00 AM,CLAREMONT BLVD / DERBY ST,T,WM4WAN
2015-00018603,03/31/2015 11:27:00 AM,UNIVERSITY AVE / BONAR ST,T,OM3TCN
2015-00018606,03/31/2015 11:42:00 AM,BELROSE AVE / DERBY ST,T,WM4WAN
2015-00018610,03/31/2015 12:08:00 PM,BANCROFT WAY / BOWDITCH ST,T,WF2TCN
2015-00018611,03/31/2015 12:08:00 PM,2200 BLOCK SHATTUCK AVE,1194,BM3RCN
2015-00018615,03/31/2015 12:17:00 PM,SHATTUCK AVE / BLAKE ST,T,WM2TCN
2015-00018619,03/31/2015 12:36:00 PM,BANCROFT WAY / TELEGRAPH AVE,T,WF2TCN
2015-00018621,03/31/2015 12:50:00 PM,BANCROFT WAY / DANA ST,T,WF4TCN
2015-00018625,03/31/2015 12:55:00 PM,ASHBY AVE / SEVENTH ST,T,OM3TCN
2015-00018628,03/31/2015 01:04:00 PM,BANCROFT WAY / TELEGRAPH AVE,T,BF2TCN
2015-00018629,03/31/2015 01:09:00 PM,UNIVERSITY AVE / SIXTH ST,T,WF2TCN
2015-00018636,03/31/2015 01:24:00 PM,MILVIA ST / DURANT AVE,T,HM4TCN
2015-00025450,05/02/2015 01:40:00 AM,UNI/BONAR,T,OM3TWN
2015-00018646,03/31/2015 02:00:00 PM,TENTH ST / DWIGHT WAY,T,OM4TCN
2015-00018648,03/31/2015 02:07:00 PM,UNIVERSITY AVE / SIXTH ST,T,BF2TCN
2015-00018649,03/31/2015 02:14:00 PM,SEVENTH ST / HEARST AVE,T,WF4TCN
2015-00075641,12/29/2015 09:37:00 PM,1400 BLOCK UNIVERSITY AVE,T,OM3TCN
2015-00018651,03/31/2015 02:26:00 PM,SIXTH ST / ADDISON ST,T,BM4TCS
2015-00018653,03/31/2015 02:35:00 PM,SAN PABLO AVE / ALLSTON WAY,T,M
2015-00018665,03/31/2015 03:30:00 PM,58TH ST / DOVER ST,T,M
2015-00018666,03/31/2015 03:37:00 PM,2400 BLOCK TELEGRAPH AVE,1194,WM4RCN
2015-00018667,03/31/2015 03:57:00 PM,ASHBY AVE / HARPER ST,T,HM4TCN
2015-00018670,03/31/2015 04:05:00 PM,SECOND ST / VIRGINIA ST,1196,M
2015-00018671,03/31/2015 04:10:00 PM,SEVENTH ST / HEARST AVE,T,BM4TWS
2015-00018672,03/31/2015 04:10:00 PM,SACRAMENTO ST / OREGON ST,T,BF4TCN
2015-00018674,03/31/2015 04:13:00 PM,SHATTUCK AVE / CHANNING WAY,T,WF4TCN
2015-00018675,03/31/2015 04:22:00 PM,2200 BLOCK SHATTUCK AVE,1194,WM2RCN
2015-00018677,03/31/2015 04:24:00 PM,SACRAMENTO ST / OREGON ST,T,OM2TCN
2015-00018682,03/31/2015 04:38:00 PM,2200 BLOCK SHATTUCK AVE,T,HF3TWN
2015-00018686,03/31/2015 04:44:00 PM,2400 BLOCK TELEGRAPH AVE,1194,WM3RCN
2015-00018696,03/31/2015 05:02:00 PM,HASKELL ST / MABEL ST,1196,M
2015-00018698,03/31/2015 05:04:00 PM,TELEGRAPH AVE / HASTE ST,T,WF4TCN
2015-00018699,03/31/2015 05:12:00 PM,TELEGRAPH AVE / CHANNING WAY,T,HM4TCN
2015-00018702,03/31/2015 05:29:00 PM,2800 BLOCK TELEGRAPH AVE,1194B,WM2TCN
2015-00018704,03/31/2015 05:37:00 PM,KING ST / SIXTY-THIRD ST,1196,M
2015-00018714,03/31/2015 06:57:00 PM,ALCATRAZ AVE / SHATTUCK AVE,1194B,M
2015-00018716,03/31/2015 07:12:00 PM,1900 BLOCK SHATTUCK AVE,1194,WF3RWN
2015-00018723,03/31/2015 07:24:00 PM,ADELINE ST / ASHBY AVE,1194,BM3TWN
2015-00018727,03/31/2015 07:50:00 PM,SEVENTH ST / ASHBY AVE,1194,BF4TCN
2015-00018730,03/31/2015 08:09:00 PM,SIXTY-FIFTH ST / SAN PABLO AVE,T,"FC, HM4TWN"
2015-00018735,03/31/2015 08:36:00 PM,1000 BLOCK UNIVERSITY AVE,T,BM3TWN
